Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 2.456158, 1.333195, 1.971293, 2.046296, 0.191325, 0.030288, 0.136975, 
20, 2.496784, 1.338737, 2.012296, 2.050135, 0.191967, 0.032096, 0.134155, 
20, 2.537503, 1.344171, 2.053376, 2.053988, 0.192640, 0.033667, 0.131119, 
20, 2.578315, 1.349486, 2.094533, 2.057855, 0.193340, 0.034978, 0.127865, 
20, 2.619223, 1.354674, 2.135768, 2.061736, 0.194060, 0.036001, 0.124392, 
20, 2.660225, 1.359725, 2.177080, 2.065632, 0.194794, 0.036716, 0.120701, 
20, 2.701325, 1.364629, 2.218471, 2.069543, 0.195536, 0.037091, 0.116790, 
20, 2.742521, 1.369377, 2.259940, 2.073468, 0.196278, 0.037103, 0.112657, 
20, 2.783816, 1.373958, 2.301489, 2.077409, 0.197012, 0.036719, 0.108304, 
20, 2.825210, 1.378364, 2.343116, 2.081363, 0.197731, 0.035914, 0.103727, 
20, 2.866702, 1.382584, 2.384823, 2.085332, 0.198424, 0.034657, 0.098928, 
20, 2.908294, 1.386607, 2.426609, 2.089313, 0.199082, 0.032919, 0.093905, 
20, 2.949986, 1.390424, 2.468475, 2.093307, 0.199695, 0.030666, 0.088657, 
20, 2.991777, 1.394024, 2.510421, 2.097312, 0.200253, 0.027873, 0.083183, 
20, 3.033668, 1.397398, 2.552448, 2.101327, 0.200743, 0.024504, 0.077484, 
20, 3.075659, 1.400533, 2.594555, 2.105350, 0.201154, 0.020533, 0.071559, 
20, 3.117747, 1.403421, 2.636742, 2.109380, 0.201472, 0.015930, 0.065407, 
20, 3.159934, 1.406050, 2.679011, 2.113413, 0.201685, 0.010663, 0.059028, 
20, 3.202217, 1.408409, 2.721360, 2.117449, 0.201780, 0.004711, 0.052422, 
20, 3.244596, 1.410489, 2.763789, 2.121484, 0.201741, -0.001956, 0.045589, 
20, 3.287068, 1.412277, 2.806300, 2.125515, 0.201553, -0.009356, 0.038530, 
20, 3.329633, 1.413763, 2.848890, 2.129539, 0.201203, -0.017512, 0.031244, 
20, 3.372288, 1.414937, 2.891561, 2.133552, 0.200674, -0.026437, 0.023732, 
20, 3.415031, 1.415786, 2.934312, 2.137551, 0.199952, -0.036143, 0.015995, 
20, 3.457858, 1.416302, 2.977143, 2.141532, 0.199019, -0.046638, 0.008035, 
20, 3.500767, 1.416472, 3.020053, 2.145489, 0.197860, -0.057922, 6.283037, 
20, 3.543755, 1.416285, 3.063041, 2.149418, 0.196461, -0.069989, 6.274633, 
20, 3.586818, 1.415732, 3.106107, 2.153314, 0.194804, -0.082828, 6.266010, 
20, 3.629952, 1.414801, 3.149251, 2.157172, 0.192876, -0.096420, 6.257170, 
20, 3.673151, 1.413482, 3.192471, 2.160985, 0.190661, -0.110736, 6.248115, 
20, 3.716412, 1.411764, 3.235766, 2.164748, 0.188146, -0.125740, 6.238849, 
20, 3.759729, 1.409638, 3.279135, 2.168454, 0.185318, -0.141386, 6.229374, 
20, 3.803096, 1.407092, 3.322577, 2.172098, 0.182166, -0.157618, 6.219694, 
20, 3.846508, 1.404117, 3.366090, 2.175671, 0.178679, -0.174373, 6.209813, 
20, 3.889957, 1.400704, 3.409673, 2.179168, 0.174847, -0.191572, 6.199736, 
20, 3.933438, 1.396843, 3.453325, 2.182582, 0.170665, -0.209134, 6.189466, 
20, 3.976942, 1.392524, 3.497043, 2.185904, 0.166125, -0.226961, 6.179010, 
20, 4.020463, 1.387741, 3.540826, 2.189129, 0.161226, -0.244946, 6.168372, 
20, 4.063991, 1.382483, 3.584671, 2.192248, 0.155967, -0.262984, 6.157559, 
20, 4.107519, 1.376743, 3.628576, 2.195255, 0.150348, -0.280942, 6.146577, 
20, 4.151039, 1.370514, 3.672539, 2.198142, 0.144374, -0.298705, 6.135432, 
20, 4.194540, 1.363789, 3.716557, 2.200903, 0.138051, -0.316125, 6.124132, 
20, 4.238014, 1.356560, 3.760627, 2.203531, 0.131390, -0.333074, 6.112684, 
20, 4.281450, 1.348822, 3.804748, 2.206019, 0.124402, -0.349412, 6.101096, 
20, 4.324840, 1.340570, 3.848915, 2.208361, 0.117102, -0.364988, 6.089377, 
20, 4.368172, 1.331799, 3.893126, 2.210551, 0.109508, -0.379671, 6.077534, 
20, 4.411362, 1.322521, 3.937301, 2.208753, -0.089933, -9.972065, 6.065598, 
20, 4.454241, 1.312771, 3.981275, 2.198704, -0.502434, -20.625070, 6.053621, 
20, 4.496637, 1.302597, 4.024874, 2.179970, -0.936721, -21.714318, 6.041663, 
20, 4.538376, 1.292052, 4.067925, 2.152529, -1.372009, -21.764405, 6.029781, 
20, 4.579289, 1.281200, 4.110252, 2.116371, -1.807919, -21.795511, 6.018035, 
20, 4.619208, 1.270113, 4.151682, 2.071489, -2.244079, -21.808007, 6.006485, 
20, 4.657967, 1.258869, 4.192040, 2.017887, -2.680136, -21.802844, 5.995190, 
20, 4.695406, 1.247554, 4.231151, 1.955571, -3.115769, -21.781669, 5.984208, 
20, 4.731366, 1.236262, 4.268843, 1.884557, -3.550701, -21.746574, 5.973599, 
20, 4.765764, 1.225065, 4.305017, 1.808711, -3.792302, -12.080045, 5.963398, 
20, 4.798600, 1.214013, 4.339663, 1.732316, -3.819747, -1.372261, 5.953614, 
20, 4.829884, 1.203149, 4.372779, 1.655809, -3.825390, -0.282122, 5.944255, 
20, 4.859624, 1.192515, 4.404363, 1.579211, -3.829881, -0.224554, 5.935326, 
20, 4.887831, 1.182151, 4.434414, 1.502544, -3.833344, -0.173183, 5.926829, 
20, 4.914516, 1.172095, 4.462931, 1.425826, -3.835900, -0.127775, 5.918768, 
20, 4.939688, 1.162383, 4.489912, 1.349073, -3.837663, -0.088171, 5.911146, 
20, 4.963360, 1.153048, 4.515358, 1.272298, -3.838744, -0.054032, 5.903963, 
20, 4.985542, 1.144121, 4.539269, 1.195513, -3.839246, -0.025098, 5.897219, 
20, 5.006244, 1.135633, 4.561643, 1.118728, -3.839266, -0.001033, 5.890916, 
20, 5.025476, 1.127610, 4.582482, 1.041950, -3.838895, 0.018551, 5.885051, 
20, 5.043250, 1.120078, 4.601786, 0.965185, -3.838216, 0.033984, 5.879626, 
20, 5.059574, 1.113059, 4.619555, 0.888439, -3.837304, 0.045595, 5.874638, 
20, 5.074457, 1.106576, 4.635789, 0.811715, -3.836227, 0.053822, 5.870086, 
20, 5.087909, 1.100647, 4.650489, 0.735014, -3.835049, 0.058900, 5.865970, 
20, 5.099936, 1.095289, 4.663656, 0.658337, -3.833824, 0.061252, 5.862287, 
20, 5.110547, 1.090519, 4.675290, 0.581685, -3.832602, 0.061125, 5.859037, 
20, 5.119747, 1.086349, 4.685391, 0.505057, -3.831424, 0.058897, 5.856217, 
20, 5.127543, 1.082791, 4.693960, 0.428450, -3.830328, 0.054781, 5.853827, 
20, 5.133938, 1.079855, 4.700997, 0.351863, -3.829346, 0.049108, 5.851866, 
20, 5.139008, 1.077517, 4.706580, 0.279136, -3.636388, 9.647887, 5.850312, 
20, 5.142901, 1.075715, 4.710870, 0.214515, -3.231016, 20.268629, 5.849117, 
20, 5.145775, 1.074381, 4.714038, 0.158408, -2.805351, 21.283238, 5.848236, 
20, 5.147785, 1.073447, 4.716254, 0.110811, -2.379856, 21.274746, 5.847619, 
20, 5.149085, 1.072841, 4.717689, 0.071721, -1.954488, 21.268419, 5.847221, 
20, 5.149831, 1.072494, 4.718512, 0.041137, -1.529206, 21.264067, 5.846992, 
20, 5.150176, 1.072333, 4.718893, 0.019058, -1.103980, 21.261334, 5.846886, 
20, 5.150276, 1.072287, 4.719002, 0.005482, -0.678782, 21.259868, 5.846855, 
20, 5.150283, 1.072283, 4.719011, 0.000410, -0.253597, 21.259267, 5.846853, 
20, 5.150283, 1.072283, 4.719011, 0.000000, -0.020503, 11.654705, 5.846853, 
