Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 4.054518, 2.155581, 2.103325, 2.047238, -1.149924, 0.805061, 5.148777, 
20, 4.071603, 2.118872, 2.143814, 2.024458, -1.139015, 0.545443, 5.147401, 
20, 4.088469, 2.082563, 2.183850, 2.001791, -1.133348, 0.283375, 5.147300, 
20, 4.105163, 2.046673, 2.223432, 1.979132, -1.132945, 0.020154, 5.148474, 
20, 4.121730, 2.011226, 2.262560, 1.956376, -1.137808, -0.243160, 5.150928, 
20, 4.138211, 1.976245, 2.301228, 1.933417, -1.147919, -0.505524, 5.154672, 
20, 4.154645, 1.941758, 2.339431, 1.910153, -1.163232, -0.765694, 5.159726, 
20, 4.171070, 1.907791, 2.377161, 1.886479, -1.183672, -1.021995, 5.166110, 
20, 4.187521, 1.874375, 2.414407, 1.862297, -1.209114, -1.272073, 5.173855, 
20, 4.204031, 1.841542, 2.451157, 1.837509, -1.239366, -1.512625, 5.182993, 
20, 4.220629, 1.809326, 2.487398, 1.812026, -1.274148, -1.739080, 5.193565, 
20, 4.237345, 1.777764, 2.523113, 1.785765, -1.313053, -1.945261, 5.205614, 
20, 4.254204, 1.746894, 2.558286, 1.758655, -1.355513, -2.123014, 5.219187, 
20, 4.271228, 1.716758, 2.592899, 1.730640, -1.400750, -2.261817, 5.234336, 
20, 4.288433, 1.687405, 2.626923, 1.701195, -1.472275, -3.576258, 5.251107, 
20, 4.305798, 1.658939, 2.660266, 1.667173, -1.701068, -11.439649, 5.269511, 
20, 4.323265, 1.631503, 2.692791, 1.626239, -2.046692, -17.281192, 5.289506, 
20, 4.340774, 1.605222, 2.724370, 1.578961, -2.363941, -15.862462, 5.311016, 
20, 4.358255, 1.580206, 2.754889, 1.525968, -2.649648, -14.285340, 5.333932, 
20, 4.375634, 1.556543, 2.784248, 1.467941, -2.901354, -12.585291, 5.358107, 
20, 4.392829, 1.534303, 2.812360, 1.405586, -3.117742, -10.819436, 5.383353, 
20, 4.409755, 1.513535, 2.839152, 1.339605, -3.299053, -9.065542, 5.409444, 
20, 4.426325, 1.494267, 2.864565, 1.270657, -3.447393, -7.416981, 5.436114, 
20, 4.442452, 1.476500, 2.888560, 1.199732, -3.546255, -4.943109, 5.463077, 
20, 4.458087, 1.460183, 2.911158, 1.129924, -3.490379, 2.793823, 5.490088, 
20, 4.473212, 1.445226, 2.932430, 1.063577, -3.317339, 8.651952, 5.516951, 
20, 4.487812, 1.431541, 2.952441, 1.000574, -3.150165, 8.358733, 5.543479, 
20, 4.501873, 1.419039, 2.971256, 0.940731, -2.992157, 7.900379, 5.569495, 
20, 4.515380, 1.407637, 2.988932, 0.883808, -2.846127, 7.301515, 5.594833, 
20, 4.528320, 1.397255, 3.005523, 0.829524, -2.714230, 6.594842, 5.619346, 
20, 4.540681, 1.387817, 3.021074, 0.777566, -2.597881, 5.817463, 5.642902, 
20, 4.552447, 1.379255, 3.035626, 0.727611, -2.497738, 5.007138, 5.665389, 
20, 4.563606, 1.371503, 3.049213, 0.679336, -2.413758, 4.199025, 5.686713, 
20, 4.574141, 1.364503, 3.061862, 0.632430, -2.345291, 3.423308, 5.706796, 
20, 4.584037, 1.358202, 3.073594, 0.586606, -2.291217, 2.703705, 5.725578, 
20, 4.593278, 1.352550, 3.084426, 0.541605, -2.250077, 2.057028, 5.743012, 
20, 4.601847, 1.347505, 3.094370, 0.497200, -2.220208, 1.493458, 5.759064, 
20, 4.609727, 1.343026, 3.103434, 0.453203, -2.199862, 1.017267, 5.773713, 
20, 4.616903, 1.339080, 3.111623, 0.409457, -2.187302, 0.628034, 5.786943, 
20, 4.623357, 1.335634, 3.118940, 0.365840, -2.180868, 0.321690, 5.798747, 
