Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 3.282930, 0.545826, 1.868459, 1.904405, 0.135027, 0.009898, 3.131410, 
20, 3.244789, 0.546114, 1.906601, 1.907108, 0.135156, 0.006476, 3.136634, 
20, 3.206593, 0.546206, 1.944797, 1.909813, 0.135223, 0.003319, 3.141706, 
20, 3.168342, 0.546107, 1.983048, 1.912517, 0.135231, 0.000420, 3.146627, 
20, 3.130039, 0.545823, 2.021352, 1.915221, 0.135187, -0.002224, 3.151395, 
20, 3.091683, 0.545358, 2.059711, 1.917923, 0.135094, -0.004624, 3.156011, 
20, 3.053276, 0.544718, 2.098123, 1.920622, 0.134958, -0.006783, 3.160475, 
20, 3.014819, 0.543908, 2.136589, 1.923318, 0.134784, -0.008713, 3.164788, 
20, 2.976311, 0.542934, 2.175110, 1.926009, 0.134576, -0.010421, 3.168949, 
20, 2.937753, 0.541801, 2.213684, 1.928696, 0.134338, -0.011912, 3.172960, 
20, 2.899147, 0.540514, 2.252311, 1.931378, 0.134074, -0.013200, 3.176819, 
20, 2.860493, 0.539080, 2.290992, 1.934053, 0.133788, -0.014290, 3.180528, 
20, 2.821790, 0.537503, 2.329727, 1.936723, 0.133484, -0.015193, 3.184087, 
20, 2.783041, 0.535788, 2.368514, 1.939386, 0.133166, -0.015916, 3.187496, 
20, 2.744244, 0.533942, 2.407355, 1.942043, 0.132836, -0.016470, 3.190756, 
20, 2.705400, 0.531970, 2.446249, 1.944693, 0.132499, -0.016862, 3.193866, 
20, 2.666509, 0.529877, 2.485196, 1.947336, 0.132157, -0.017101, 3.196828, 
20, 2.627573, 0.527669, 2.524195, 1.949972, 0.131813, -0.017197, 3.199642, 
20, 2.588589, 0.525351, 2.563247, 1.952602, 0.131470, -0.017156, 3.202308, 
20, 2.549560, 0.522928, 2.602352, 1.955224, 0.131130, -0.016988, 3.204826, 
20, 2.510484, 0.520407, 2.641509, 1.957840, 0.130796, -0.016700, 3.207197, 
20, 2.471363, 0.517793, 2.680718, 1.960450, 0.130470, -0.016302, 3.209421, 
20, 2.432195, 0.515090, 2.719979, 1.963053, 0.130154, -0.015798, 3.211499, 
20, 2.392980, 0.512306, 2.759292, 1.965650, 0.129850, -0.015199, 3.213431, 
20, 2.353720, 0.509445, 2.798656, 1.968241, 0.129560, -0.014512, 3.215218, 
20, 2.314412, 0.506513, 2.838073, 1.970827, 0.129285, -0.013741, 3.216858, 
20, 2.275058, 0.503515, 2.877541, 1.973407, 0.129027, -0.012897, 3.218354, 
20, 2.235657, 0.500458, 2.917061, 1.975983, 0.128787, -0.011984, 3.219705, 
20, 2.196209, 0.497345, 2.956632, 1.978554, 0.128567, -0.011010, 3.220911, 
20, 2.156712, 0.494184, 2.996254, 1.981122, 0.128368, -0.009981, 3.221973, 
20, 2.117168, 0.490980, 3.035928, 1.983685, 0.128190, -0.008902, 3.222890, 
20, 2.077576, 0.487739, 3.075653, 1.986246, 0.128034, -0.007781, 3.223664, 
20, 2.037935, 0.484465, 3.115429, 1.988804, 0.127901, -0.006623, 3.224293, 
20, 1.998245, 0.481165, 3.155256, 1.991360, 0.127793, -0.005436, 3.224779, 
20, 1.958505, 0.477844, 3.195135, 1.993914, 0.127708, -0.004222, 3.225122, 
20, 1.918715, 0.474508, 3.235064, 1.996467, 0.127649, -0.002990, 3.225320, 
20, 1.878875, 0.471163, 3.275044, 1.999019, 0.127614, -0.001744, 3.225376, 
20, 1.838984, 0.467814, 3.315076, 2.001572, 0.127604, -0.000491, 3.225287, 
20, 1.799041, 0.464468, 3.355158, 2.004124, 0.127619, 0.000765, 3.225055, 
20, 1.759047, 0.461129, 3.395292, 2.006677, 0.127659, 0.002017, 3.224680, 
20, 1.719000, 0.457804, 3.435476, 2.009232, 0.127725, 0.003260, 3.224160, 
20, 1.678900, 0.454498, 3.475712, 2.011788, 0.127814, 0.004488, 3.223497, 
20, 1.638747, 0.451218, 3.515999, 2.014346, 0.127928, 0.005696, 3.222691, 
20, 1.598540, 0.447969, 3.556337, 2.016908, 0.128066, 0.006877, 3.221740, 
20, 1.558278, 0.444757, 3.596727, 2.019472, 0.128226, 0.008026, 3.220644, 
20, 1.517962, 0.441588, 3.637167, 2.022040, 0.128409, 0.009139, 3.219405, 
20, 1.477590, 0.438467, 3.677660, 2.024613, 0.128613, 0.010205, 3.218021, 
20, 1.437162, 0.435402, 3.718203, 2.027189, 0.128838, 0.011223, 3.216491, 
20, 1.396678, 0.432398, 3.758799, 2.029771, 0.129081, 0.012183, 3.214817, 
20, 1.356137, 0.429461, 3.799446, 2.032358, 0.129343, 0.013081, 3.212997, 
20, 1.315539, 0.426596, 3.840145, 2.034950, 0.129621, 0.013908, 3.211031, 
20, 1.274884, 0.423812, 3.880896, 2.037549, 0.129914, 0.014660, 3.208919, 
20, 1.234225, 0.421116, 3.921644, 2.037381, -0.008378, -6.914632, 3.206664, 
20, 1.193698, 0.418523, 3.962254, 2.030518, -0.343158, -16.739005, 3.204274, 
20, 1.153458, 0.416047, 4.002570, 2.015784, -0.736718, -19.677984, 3.201761, 
20, 1.113664, 0.413702, 4.042432, 1.993139, -1.132242, -19.776196, 3.199138, 
20, 1.074475, 0.411498, 4.081683, 1.962545, -1.529693, -19.872532, 3.196422, 
20, 1.036051, 0.409442, 4.120163, 1.923965, -1.929012, -19.965986, 3.193631, 
20, 0.998552, 0.407542, 4.157710, 1.877362, -2.330123, -20.055523, 3.190785, 
20, 0.962139, 0.405801, 4.194164, 1.822704, -2.732924, -20.140080, 3.187907, 
20, 0.926976, 0.404222, 4.229363, 1.759958, -3.137296, -20.218569, 3.185019, 
20, 0.893168, 0.402802, 4.263201, 1.691898, -3.403004, -13.285402, 3.182144, 
20, 0.860743, 0.401532, 4.295650, 1.622467, -3.471560, -3.427822, 3.179295, 
20, 0.829707, 0.400405, 4.326707, 1.552821, -3.482258, -0.534907, 3.176484, 
20, 0.800064, 0.399411, 4.356366, 1.482971, -3.492523, -0.513231, 3.173722, 
20, 0.771819, 0.398541, 4.384625, 1.412924, -3.502349, -0.491274, 3.171022, 
20, 0.744976, 0.397786, 4.411479, 1.342689, -3.511729, -0.469045, 3.168393, 
20, 0.719539, 0.397137, 4.436924, 1.272276, -3.520661, -0.446557, 3.165845, 
20, 0.695511, 0.396583, 4.460958, 1.201693, -3.529137, -0.423825, 3.163389, 
20, 0.672897, 0.396117, 4.483577, 1.130950, -3.537155, -0.400873, 3.161032, 
20, 0.651700, 0.395728, 4.504778, 1.060056, -3.544709, -0.377716, 3.158784, 
20, 0.631922, 0.395409, 4.524558, 0.989020, -3.551796, -0.354382, 3.156652, 
20, 0.613567, 0.395151, 4.542915, 0.917852, -3.558414, -0.330889, 3.154644, 
20, 0.596637, 0.394946, 4.559847, 0.846561, -3.564559, -0.307261, 3.152767, 
20, 0.581134, 0.394786, 4.575350, 0.775156, -3.570230, -0.283519, 3.151027, 
20, 0.567062, 0.394665, 4.589423, 0.703648, -3.575423, -0.259681, 3.149430, 
20, 0.554421, 0.394575, 4.602064, 0.632045, -3.580139, -0.235767, 3.147982, 
